date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
12/31/2014 0:00,10,-19,-1,1027,NW,51.84,0,0
12/31/2014 1:00,11,-18,-1,1028,NW,61.67,0,0
12/31/2014 2:00,20,-17,-1,1028,NW,70.61,0,0
12/31/2014 3:00,9,-17,-1,1029,NW,81.79,0,0
12/31/2014 4:00,8,-19,-2,1030,NW,94.75,0,0
12/31/2014 5:00,9,-21,-3,1030,NW,109.95,0,0
12/31/2014 6:00,8,-23,-4,1032,NW,130.07,0,0
12/31/2014 7:00,8,-22,-5,1034,NW,143.03,0,0
12/31/2014 8:00,8,-22,-5,1034,NW,150.18,0,0
12/31/2014 9:00,8,-22,-3,1034,NW,155.99,0,0
12/31/2014 10:00,7,-22,-2,1034,NW,163.14,0,0
12/31/2014 11:00,12,-22,-2,1034,NW,170.29,0,0
12/31/2014 12:00,17,-22,0,1033,NW,177.44,0,0
12/31/2014 13:00,11,-27,0,1032,NW,186.38,0,0
12/31/2014 14:00,9,-27,1,1032,NW,196.21,0,0
12/31/2014 15:00,11,-26,1,1032,NW,205.15,0,0
12/31/2014 16:00,8,-23,0,1032,NW,214.09,0,0
12/31/2014 17:00,9,-22,-1,1033,NW,221.24,0,0
12/31/2014 18:00,10,-22,-2,1033,NW,226.16,0,0
12/31/2014 19:00,8,-23,-2,1034,NW,231.97,0,0
12/31/2014 20:00,10,-22,-3,1034,NW,237.78,0,0
12/31/2014 21:00,10,-22,-3,1034,NW,242.7,0,0
12/31/2014 22:00,8,-22,-4,1034,NW,246.72,0,0
12/31/2014 23:00,12,-21,-3,1034,NW,249.85,0,0
1/1/2015 0:00,12,-21,-3,1034,NW,249.85,0,0
